codigo;descricao;estadual;chave;versao
0;PRODUTO NAO ESPECIFICADO NA LISTA DE NCM;18.00;C07872;23.2.A
1012100;Cavalos reprodutores,de raca pura;18.00;C07872;23.2.A
1012900;Cavalos vivos,exceto reprodutores de raca pura;18.00;C07872;23.2.A
1013000;Asininos;18.00;C07872;23.2.A
1019000;Outros asininos e muares,vivos;18.00;C07872;23.2.A
1022110;Bovinos reprodutores,de raca pura,prenhe ou com cria ao pe;12.00;C07872;23.2.A
1022190;Outros bovinos reprodutores,de raca pura;12.00;C07872;23.2.A
1022911;Outros bovinos para reproducao, prenhe ou com cria ao pe;12.00;C07872;23.2.A
1022919;Outros bovinos domesticos para reproducao;12.00;C07872;23.2.A
1022990;Outros bovinos domesticos;12.00;C07872;23.2.A
1023110;Bufalos reprodutores,de raca pura, prenhe ou com cria ao pe;12.00;C07872;23.2.A
1023190;Outros bufalos reprodutores,de raca pura;12.00;C07872;23.2.A
1023911;Outros bufalos para reproducao, prenhe ou com cria ao pe;12.00;C07872;23.2.A
1023919;Outros bufalos para reproducao;12.00;C07872;23.2.A
1023990;Outros bufalos;12.00;C07872;23.2.A
1029000;Outros animais vivos da especie bovina;12.00;C07872;23.2.A
1031000;Suinos reprodutores de raca pura;12.00;C07872;23.2.A
1039100;Outros suinos,vivos,de peso inferior a 50kg;12.00;C07872;23.2.A
1039200;Outros suinos,vivos,de peso igual ou superior a 50kg;12.00;C07872;23.2.A
1041011;Ovinos reprodutores,de raca pura,prenhe ou c/cria ao pe;12.00;C07872;23.2.A
1041019;Outros ovinos,reprodutores,de raca pura;12.00;C07872;23.2.A
1041090;Outros ovinos,vivos;12.00;C07872;23.2.A
1042010;Caprinos reprodutores,de raca pura;12.00;C07872;23.2.A
1042090;Outros caprinos,vivos;12.00;C07872;23.2.A
1051110;Galos e galinhas,p<=185g,de linha pura/hibrida, p/reprod;12.00;C07872;23.2.A
1051190;Outros galos e galinhas,vivos,de peso n/superior a 185g;12.00;C07872;23.2.A
1051200;Peruas e perus,vivos,de peso nao superior a 185g;12.00;C07872;23.2.A
1051300;Patos vivos,de peso<=185g;12.00;C07872;23.2.A
1051400;Gansos, vivos,de peso<=185g;12.00;C07872;23.2.A
1051500;Galinhas dangola (pintadas),vivos,de peso<=185g;12.00;C07872;23.2.A
1059400;Outros galos e galinhas,vivos de peso>185g;12.00;C07872;23.2.A
1059900;Patos,gansos,perus,peruas,pintadas,vivos,de peso>185g;12.00;C07872;23.2.A
1061100;Primatas;12.00;C07872;23.2.A
1061200;Baleias, golfinhos e botos, peixes-boi e digongos, otarias e focas, leoes-marinhos e morsas;12.00;C07872;23.2.A
1061300;Camelos e outros camelideos;12.00;C07872;23.2.A
1061400;Coelhos e lebres;12.00;C07872;23.2.A
1061900;Outros animais mamiferos;12.00;C07872;23.2.A
1062000;Repteis incluidas as serpentes e as tartarugas marinhas;12.00;C07872;23.2.A
1063100;Aves de rapina;12.00;C07872;23.2.A
1063200;Psitaciformes (incluidos os papagaios, os periquitos, as araras e as cacatuas);12.00;C07872;23.2.A
1063310;Avestruzes para reproducao;12.00;C07872;23.2.A
1063390;Outros avestruzes, emus;12.00;C07872;23.2.A
1063900;Outras aves;12.00;C07872;23.2.A
1064100;Abelhas;12.00;C07872;23.2.A
1064900;Outro insetos;12.00;C07872;23.2.A
1069000;Outros animais vivos;12.00;C07872;23.2.A
2011000;Carcacas e meias carcacas,de bovino,frescas ou refriger;18.00;C07872;23.2.A
2012010;Quartos dianteiros,de bovino,n/desossad. frescos/refrig.;18.00;C07872;23.2.A
2012020;Quartos traseiros,de bovino,n/desossados, frescos/refrig;18.00;C07872;23.2.A
2012090;Outs.carnes de bovino,nao desossadas, frescas ou refrig.;18.00;C07872;23.2.A
2013000;Carnes de bovino,desossadas,frescas ou refrigeradas;18.00;C07872;23.2.A
2021000;Carcacas e meias-carcacas,de bovino, congeladas;18.00;C07872;23.2.A
2022010;Quartos dianteiros,de bovino,nao desossados, congelados;18.00;C07872;23.2.A
2022020;Quartos traseiros,de bovino,nao desossados, congelados;18.00;C07872;23.2.A
2022090;Outras carnes de bovino,nao desossadas, congeladas;18.00;C07872;23.2.A
2023000;Carnes de bovino,desossadas,congeladas;18.00;C07872;23.2.A
2031100;Carcacas e meias-carcacas,de suino,frescas ou refriger.;18.00;C07872;23.2.A
2031200;Pernas,pas,etc.de suino,n/desossados,frescos ou refrig.;18.00;C07872;23.2.A
2031900;Outras carnes,de suino,frescas ou refrigeradas;18.00;C07872;23.2.A
2032100;Carcacas e meias-carcacas,de suino, congeladas;18.00;C07872;23.2.A
2032200;Pernas,pas e pedacos,de suinos,n/desossados, congelados;18.00;C07872;23.2.A
2032900;Outras carnes,de suino,congeladas;18.00;C07872;23.2.A
2041000;Carcacas e meias-carcacas,de cordeiro, frescas ou refrig;18.00;C07872;23.2.A
2042100;Carcacas e meias-carcacas,de ovino,frescas ou refriger.;18.00;C07872;23.2.A
2042200;Outras carnes,de ovino,nao desossadas, ]frescas ou refrig;18.00;C07872;23.2.A
2042300;Carnes de ovino,desossadas,frescas ou refrigeradas;18.00;C07872;23.2.A
2043000;Carcacas e meias-carcacas,de cordeiro, congeladas;18.00;C07872;23.2.A
2044100;Carcacas e meias-carcacas,de ovino, congeladas;18.00;C07872;23.2.A
2044200;Outras carnes de ovino,nao desossadas, congeladas;18.00;C07872;23.2.A
2044300;Carnes de ovino,desossadas,congeladas;18.00;C07872;23.2.A
2045000;Carnes de caprino,frescas,refrigeradas ou congeladas;18.00;C07872;23.2.A
2050000;Carnes de cavalo,asinino e muar,frescas, refrig.ou cong.;18.00;C07872;23.2.A
2061000;Miudezas comestiveis,de bovino,frescas ou refrigeradas;18.00;C07872;23.2.A
2062100;Linguas de bovino,congeladas;18.00;C07872;23.2.A
2062200;Figados de bovino,congelados;18.00;C07872;23.2.A
2062910;Rabos de bovino,congelados;18.00;C07872;23.2.A
2062990;Outras miudezas comestiveis,de bovino, congeladas;18.00;C07872;23.2.A
2063000;Miudezas comestiveis,de suino,frescas ou refrigeradas;18.00;C07872;23.2.A
2064100;Figados de suino,congelados;18.00;C07872;23.2.A
2064900;Outras miudezas,comestiveis,de suino, congeladas;18.00;C07872;23.2.A
2068000;Miudezas comestiveis,de ovino,etc. frescas/refrigeradas;18.00;C07872;23.2.A
2069000;Miudezas comestiveis,de ovino,caprino, etc.congeladas;18.00;C07872;23.2.A
2071100;Carnes de galos/galinhas,n/cort.pedacos, frescas/refrig.;18.00;C07872;23.2.A
2071210;Carnes e miudezas comestiveis carnes e miudezas comestiveis frescas refrigeradas ou congeladas das aves da posicao 01 05 com miudezas;18.00;C07872;23.2.A
